L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n, T
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.366334e-02, 2.366334e-02, 0.000000e+00, 0.000000e+00, 2.095036e-11, 3.938913e-01, 5.506039e-02, 6.809752e-10, 6.859066e-11, 6.387339e-10, 1.606598e-16, 3.526863e-17, 4.378729e-17, 8.160388e-17, 1.417001e-19, 4.575673e-17, 5.821612e-18, 4.702406e-17, 3.287615e-02, 1.565597e+09, 1.565597e+09, 1.683438e-06, 2.090050e-06, 6.763610e-09, 2.778765e-07, 3.250422e+01, 2.992617e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.441073e-02, 2.441073e-02, 0.000000e+00, 0.000000e+00, 2.194919e-11, 3.938913e-01, 5.506044e-02, 7.134123e-10, 7.182774e-11, 6.398355e-10, 1.605882e-16, 3.545148e-17, 4.359005e-17, 8.154665e-17, 1.387280e-19, 4.548696e-17, 5.582805e-18, 4.699703e-17, 3.438304e-02, 1.562902e+09, 1.562902e+09, 1.615162e-06, 1.985953e-06, 6.320417e-09, 2.543513e-07, 3.250290e+01, 3.135293e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.514005e-02, 2.514005e-02, 0.000000e+00, 0.000000e+00, 2.294827e-11, 3.938912e-01, 5.506049e-02, 7.458556e-10, 7.506347e-11, 6.407404e-10, 1.605195e-16, 3.562115e-17, 4.340753e-17, 8.149082e-17, 1.359449e-19, 4.523732e-17, 5.362170e-18, 4.697541e-17, 3.589611e-02, 1.560695e+09, 1.560695e+09, 1.552237e-06, 1.891538e-06, 5.923970e-09, 2.336633e-07, 3.250160e+01, 3.278006e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.585235e-02, 2.585235e-02, 0.000000e+00, 0.000000e+00, 2.394771e-11, 3.938912e-01, 5.506054e-02, 7.783082e-10, 7.829821e-11, 6.414606e-10, 1.604535e-16, 3.577907e-17, 4.323815e-17, 8.143632e-17, 1.333328e-19, 4.500568e-17, 5.157741e-18, 4.695858e-17, 3.741618e-02, 1.558942e+09, 1.558942e+09, 1.494049e-06, 1.805523e-06, 5.567663e-09, 2.153751e-07, 3.250031e+01, 3.420769e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.654856e-02, 2.654856e-02, 0.000000e+00, 0.000000e+00, 2.494763e-11, 3.938912e-01, 5.506059e-02, 8.107743e-10, 8.153243e-11, 6.420074e-10, 1.603901e-16, 3.592648e-17, 4.308057e-17, 8.138306e-17, 1.308760e-19, 4.479015e-17, 4.967810e-18, 4.694601e-17, 3.894405e-02, 1.557614e+09, 1.557614e+09, 1.440076e-06, 1.726840e-06, 5.246029e-09, 1.991295e-07, 3.249905e+01, 3.563601e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.722960e-02, 2.722960e-02, 0.000000e+00, 0.000000e+00, 2.594820e-11, 3.938911e-01, 5.506064e-02, 8.432592e-10, 8.476673e-11, 6.423914e-10, 1.603290e-16, 3.606447e-17, 4.293357e-17, 8.133099e-17, 1.285605e-19, 4.458911e-17, 4.790894e-18, 4.693724e-17, 4.048054e-02, 1.556683e+09, 1.556683e+09, 1.389864e-06, 1.654588e-06, 4.954507e-09, 1.846330e-07, 3.249779e+01, 3.706525e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.789635e-02, 2.789635e-02, 0.000000e+00, 0.000000e+00, 2.694963e-11, 3.938911e-01, 5.506069e-02, 8.757703e-10, 8.800186e-11, 6.426222e-10, 1.602701e-16, 3.619399e-17, 4.279613e-17, 8.128003e-17, 1.263740e-19, 4.440113e-17, 4.625693e-18, 4.693187e-17, 4.202651e-02, 1.556124e+09, 1.556124e+09, 1.343023e-06, 1.588004e-06, 4.689266e-09, 1.716421e-07, 3.249656e+01, 3.849573e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.854964e-02, 2.854964e-02, 0.000000e+00, 0.000000e+00, 2.795222e-11, 3.938911e-01, 5.506074e-02, 9.083166e-10, 9.123877e-11, 6.427090e-10, 1.602133e-16, 3.631587e-17, 4.266731e-17, 8.123012e-17, 1.243052e-19, 4.422494e-17, 4.471064e-18, 4.692956e-17, 4.358288e-02, 1.555914e+09, 1.555914e+09, 1.299213e-06, 1.526437e-06, 4.447061e-09, 1.599538e-07, 3.249533e+01, 3.992785e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.919031e-02, 2.919031e-02, 0.000000e+00, 0.000000e+00, 2.895631e-11, 3.938910e-01, 5.506079e-02, 9.409098e-10, 9.447867e-11, 6.426604e-10, 1.601584e-16, 3.643086e-17, 4.254630e-17, 8.118120e-17, 1.223442e-19, 4.405944e-17, 4.325994e-18, 4.693001e-17, 4.515065e-02, 1.556032e+09, 1.556032e+09, 1.258132e-06, 1.469327e-06, 4.225132e-09, 1.493973e-07, 3.249412e+01, 4.136213e-06, 1.370000e+00, 2.700000e+01,
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 2.000000e-13, 2.000000e-13, 2.981918e-02, 2.981918e-02, 0.000000e+00, 0.000000e+00, 2.996235e-11, 3.938910e-01, 5.506084e-02, 9.735645e-10, 9.772305e-11, 6.424840e-10, 1.601052e-16, 3.653961e-17, 4.243237e-17, 8.113321e-17, 1.204819e-19, 4.390363e-17, 4.189584e-18, 4.693296e-17, 4.673095e-02, 1.556459e+09, 1.556459e+09, 1.219517e-06, 1.416189e-06, 4.021110e-09, 1.398283e-07, 3.249292e+01, 4.279920e-06, 1.370000e+00, 2.700000e+01,
