L_u, W_u, ft_u, cgs_u, cgg_u, cgd_u, cgb_u, cdb_u, css_u, cdd_u, cds_u, id_u, L, W, VGS, VDS, VSB, type, ids, vth, vdsat, gm, gmb, gds, cgg, cgs, cgd, cgb, cdb, cdd, cds, css, va, ro, rds, kcgs, kcgd, kcdb, kcds, kgm, ic, n, T
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 3.623443e-04, 3.623443e-04, 0.000000e+00, 0.000000e+00, 2.099919e-11, 3.372483e-01, 7.590127e-02, 5.892989e-10, 3.266584e-11, 5.782704e-08, 4.390619e-17, 1.542733e-17, 2.363818e-17, 4.840679e-18, 3.295094e-20, 2.315293e-17, 3.351770e-18, 2.118576e-17, 3.631519e-04, 1.729295e+07, 1.729295e+07, 7.346632e-07, 1.125671e-06, 1.569153e-09, 1.596143e-07, 2.806294e+01, 2.999592e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 3.794558e-04, 3.794558e-04, 0.000000e+00, 0.000000e+00, 2.199915e-11, 3.372476e-01, 7.590130e-02, 6.173565e-10, 3.422087e-11, 5.784281e-08, 4.390583e-17, 1.543264e-17, 2.363256e-17, 4.840634e-18, 3.293174e-20, 2.314792e-17, 3.347121e-18, 2.118447e-17, 3.803411e-04, 1.728823e+07, 1.728823e+07, 7.015108e-07, 1.074249e-06, 1.496955e-09, 1.521478e-07, 2.806275e+01, 3.142430e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 3.965545e-04, 3.965545e-04, 0.000000e+00, 0.000000e+00, 2.299911e-11, 3.372470e-01, 7.590133e-02, 6.454137e-10, 3.577585e-11, 5.785858e-08, 4.390547e-17, 1.543794e-17, 2.362694e-17, 4.840589e-18, 3.291255e-20, 2.314292e-17, 3.342483e-18, 2.118319e-17, 3.975209e-04, 1.728352e+07, 1.728352e+07, 6.712407e-07, 1.027298e-06, 1.431036e-09, 1.453310e-07, 2.806255e+01, 3.285267e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 4.136404e-04, 4.136404e-04, 0.000000e+00, 0.000000e+00, 2.399907e-11, 3.372464e-01, 7.590136e-02, 6.734706e-10, 3.733080e-11, 5.787434e-08, 4.390511e-17, 1.544322e-17, 2.362135e-17, 4.840545e-18, 3.289340e-20, 2.313794e-17, 3.337856e-18, 2.118192e-17, 4.146915e-04, 1.727881e+07, 1.727881e+07, 6.434925e-07, 9.842608e-07, 1.370611e-09, 1.390827e-07, 2.806236e+01, 3.428105e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 4.307135e-04, 4.307135e-04, 0.000000e+00, 0.000000e+00, 2.499903e-11, 3.372458e-01, 7.590138e-02, 7.015270e-10, 3.888570e-11, 5.789009e-08, 4.390475e-17, 1.544850e-17, 2.361576e-17, 4.840500e-18, 3.287427e-20, 2.313297e-17, 3.333240e-18, 2.118065e-17, 4.318528e-04, 1.727411e+07, 1.727411e+07, 6.179637e-07, 9.446669e-07, 1.315021e-09, 1.333348e-07, 2.806217e+01, 3.570943e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 4.477738e-04, 4.477738e-04, 0.000000e+00, 0.000000e+00, 2.599900e-11, 3.372451e-01, 7.590141e-02, 7.295831e-10, 4.044055e-11, 5.790583e-08, 4.390440e-17, 1.545376e-17, 2.361018e-17, 4.840456e-18, 3.285516e-20, 2.312801e-17, 3.328635e-18, 2.117938e-17, 4.490048e-04, 1.726942e+07, 1.726942e+07, 5.943982e-07, 9.081191e-07, 1.263709e-09, 1.280294e-07, 2.806197e+01, 3.713781e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 4.648214e-04, 4.648214e-04, 0.000000e+00, 0.000000e+00, 2.699896e-11, 3.372445e-01, 7.590144e-02, 7.576388e-10, 4.199536e-11, 5.792156e-08, 4.390404e-17, 1.545901e-17, 2.360462e-17, 4.840411e-18, 3.283608e-20, 2.312306e-17, 3.324041e-18, 2.117811e-17, 4.661476e-04, 1.726473e+07, 1.726473e+07, 5.725779e-07, 8.742791e-07, 1.216198e-09, 1.231174e-07, 2.806178e+01, 3.856618e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 4.818564e-04, 4.818564e-04, 0.000000e+00, 0.000000e+00, 2.799892e-11, 3.372439e-01, 7.590147e-02, 7.856941e-10, 4.355013e-11, 5.793728e-08, 4.390368e-17, 1.546424e-17, 2.359908e-17, 4.840367e-18, 3.281703e-20, 2.311812e-17, 3.319458e-18, 2.117685e-17, 4.832812e-04, 1.726004e+07, 1.726004e+07, 5.523157e-07, 8.428567e-07, 1.172082e-09, 1.185566e-07, 2.806159e+01, 3.999456e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 4.988786e-04, 4.988786e-04, 0.000000e+00, 0.000000e+00, 2.899888e-11, 3.372433e-01, 7.590150e-02, 8.137490e-10, 4.510486e-11, 5.795299e-08, 4.390333e-17, 1.546947e-17, 2.359354e-17, 4.840322e-18, 3.279800e-20, 2.311319e-17, 3.314885e-18, 2.117559e-17, 5.004056e-04, 1.725537e+07, 1.725537e+07, 5.334504e-07, 8.136017e-07, 1.131009e-09, 1.143108e-07, 2.806139e+01, 4.142294e-06, 1.370000e+00, 2.700000e+01
1.000000e-13, 1.000000e-13, 7.716731e+10, 1.098771e-16, 1.405788e-16, 2.026257e-17, 1.043911e-17, 2.162344e-19, 1.461817e-16, 2.061959e-17, 1.207249e-18, 7.000682e-06, 3.000000e-14, 1.000000e-13, 5.158881e-04, 5.158881e-04, 0.000000e+00, 0.000000e+00, 2.999884e-11, 3.372426e-01, 7.590153e-02, 8.418036e-10, 4.665954e-11, 5.796869e-08, 4.390297e-17, 1.547468e-17, 2.358802e-17, 4.840278e-18, 3.277899e-20, 2.310827e-17, 3.310324e-18, 2.117434e-17, 5.175207e-04, 1.725069e+07, 1.725069e+07, 5.158425e-07, 7.862976e-07, 1.092675e-09, 1.103484e-07, 2.806120e+01, 4.285132e-06, 1.370000e+00, 2.700000e+01
