isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
1.00000000e-07,1.91801785e-06,1.00000000e-07,9.99992527e-08,1.00000000e-07,1.64186941e-15,1.00000000e-07,-1.24718264e-15,1.00000000e-07,2.62730123e-18,1.00000000e-07,5.99424943e-16,1.00000000e-07,8.97686359e-16,1.00000000e-07,-5.15792485e-19,1.00000000e-07,1.84850347e-08,1.00000000e-07,6.23691049e-01,1.00000000e-07,5.53865537e-02,1.00000000e-07,5.57969499e-01,1.00000000e-07,5.57969465e-01,1.00000000e-07,5.40978157e+07,1.00000000e-07,1.16819148e+09,1.00000000e-07,1.85923448e+08,1.00000000e-07,1.91803218e+01,0.840,0.500,sky130
1.25000000e-07,2.37860599e-06,1.25000000e-07,1.25038616e-07,1.25000000e-07,1.67209833e-15,1.25000000e-07,-1.28757418e-15,1.25000000e-07,2.73748011e-18,1.25000000e-07,6.16776879e-16,1.25000000e-07,9.23702930e-16,1.25000000e-07,-5.59583200e-19,1.25000000e-07,2.26943338e-08,1.25000000e-07,6.23648765e-01,1.25000000e-07,5.72728361e-02,1.25000000e-07,5.69556104e-01,1.25000000e-07,5.69556061e-01,1.25000000e-07,4.40638623e+07,1.25000000e-07,1.42252758e+09,1.25000000e-07,2.26402296e+08,1.25000000e-07,1.90229712e+01,0.840,0.500,sky130
1.50000000e-07,2.83406299e-06,1.50000000e-07,1.50109652e-07,1.50000000e-07,1.69663345e-15,1.50000000e-07,-1.32029765e-15,1.50000000e-07,2.82655149e-18,1.50000000e-07,6.30787149e-16,1.50000000e-07,9.44710219e-16,1.50000000e-07,-5.94669821e-19,1.50000000e-07,2.68191494e-08,1.50000000e-07,6.23613910e-01,1.50000000e-07,5.90592982e-02,1.50000000e-07,5.79107457e-01,1.50000000e-07,5.79107405e-01,1.50000000e-07,3.72867903e+07,1.50000000e-07,1.67040382e+09,1.50000000e-07,2.65853025e+08,1.50000000e-07,1.88799518e+01,0.840,0.500,sky130
1.75000000e-07,3.28177043e-06,1.75000000e-07,1.75063223e-07,1.75000000e-07,1.71713059e-15,1.75000000e-07,-1.34759730e-15,1.75000000e-07,2.90073229e-18,1.75000000e-07,6.42442169e-16,1.75000000e-07,9.62186725e-16,1.75000000e-07,-6.23681453e-19,1.75000000e-07,3.08470711e-08,1.75000000e-07,6.23584361e-01,1.75000000e-07,6.07505555e-02,1.75000000e-07,5.87204790e-01,1.75000000e-07,5.87204730e-01,1.75000000e-07,3.24179886e+07,1.75000000e-07,1.91119443e+09,1.75000000e-07,3.04176041e+08,1.75000000e-07,1.87462014e+01,0.840,0.500,sky130
2.00000000e-07,3.72425656e-06,2.00000000e-07,2.00034784e-07,2.00000000e-07,1.73478394e-15,2.00000000e-07,-1.37108333e-15,2.00000000e-07,2.96445923e-18,2.00000000e-07,6.52444542e-16,2.00000000e-07,9.77185660e-16,2.00000000e-07,-6.48455574e-19,2.00000000e-07,3.48090748e-08,2.00000000e-07,6.23558557e-01,2.00000000e-07,6.23677307e-02,2.00000000e-07,5.94275677e-01,2.00000000e-07,5.94275608e-01,2.00000000e-07,2.87281407e+07,2.00000000e-07,2.14681291e+09,2.00000000e-07,3.41675886e+08,2.00000000e-07,1.86180447e+01,0.840,0.500,sky130
2.25000000e-07,4.16155209e-06,2.25000000e-07,2.25022185e-07,2.25000000e-07,1.75027051e-15,2.25000000e-07,-1.39166804e-15,2.25000000e-07,3.02024499e-18,2.25000000e-07,6.61192320e-16,2.25000000e-07,9.90303710e-16,2.25000000e-07,-6.70031055e-19,2.25000000e-07,3.87114242e-08,2.25000000e-07,6.23535624e-01,2.25000000e-07,6.39196353e-02,2.25000000e-07,6.00560170e-01,2.25000000e-07,6.00560092e-01,2.25000000e-07,2.58321676e+07,2.25000000e-07,2.37766223e+09,2.25000000e-07,3.78416697e+08,2.25000000e-07,1.84939636e+01,0.840,0.500,sky130
2.50000000e-07,4.59356184e-06,2.50000000e-07,2.50014931e-07,2.50000000e-07,1.76404878e-15,2.50000000e-07,-1.40996829e-15,2.50000000e-07,3.06978602e-18,2.50000000e-07,6.68954146e-16,2.50000000e-07,1.00194358e-15,2.50000000e-07,-6.89105084e-19,2.50000000e-07,4.25578536e-08,2.50000000e-07,6.23514967e-01,2.50000000e-07,6.54129407e-02,2.50000000e-07,6.06220973e-01,2.50000000e-07,6.06220887e-01,2.50000000e-07,2.34974256e+07,2.50000000e-07,2.60398800e+09,2.50000000e-07,4.14437561e+08,2.50000000e-07,1.83731501e+01,0.840,0.500,sky130
2.75000000e-07,5.02034407e-06,2.75000000e-07,2.75010345e-07,2.75000000e-07,1.77644979e-15,2.75000000e-07,-1.42642876e-15,2.75000000e-07,3.11430346e-18,2.75000000e-07,6.75923282e-16,2.75000000e-07,1.01239500e-15,2.75000000e-07,-7.06176362e-19,2.75000000e-07,4.63524419e-08,2.75000000e-07,6.23496156e-01,2.75000000e-07,6.68535810e-02,2.75000000e-07,6.11376092e-01,2.75000000e-07,6.11375997e-01,2.75000000e-07,2.15738364e+07,2.75000000e-07,2.82605459e+09,2.75000000e-07,4.49780558e+08,2.75000000e-07,1.82551099e+01,0.840,0.500,sky130
3.00000000e-07,5.44199391e-06,3.00000000e-07,3.00007347e-07,3.00000000e-07,1.78771829e-15,3.00000000e-07,-1.44137785e-15,3.00000000e-07,3.15469792e-18,3.00000000e-07,6.82242194e-16,3.00000000e-07,1.02187152e-15,3.00000000e-07,-7.21610823e-19,3.00000000e-07,5.00988299e-08,3.00000000e-07,6.23478870e-01,3.00000000e-07,6.82466092e-02,3.00000000e-07,6.16113097e-01,3.00000000e-07,6.16112993e-01,3.00000000e-07,1.99605460e+07,3.00000000e-07,3.04410037e+09,3.00000000e-07,4.84483621e+08,3.00000000e-07,1.81395355e+01,0.840,0.500,sky130
3.25000000e-07,5.85861955e-06,3.25000000e-07,3.25005313e-07,3.25000000e-07,1.79803990e-15,3.25000000e-07,-1.45506430e-15,3.25000000e-07,3.19165095e-18,3.25000000e-07,6.88018639e-16,3.25000000e-07,1.03053471e-15,3.25000000e-07,-7.35684158e-19,3.25000000e-07,5.38001944e-08,3.25000000e-07,6.23462867e-01,3.25000000e-07,6.95963312e-02,3.25000000e-07,6.20498636e-01,3.25000000e-07,6.20498524e-01,3.25000000e-07,1.85872934e+07,3.25000000e-07,3.25833678e+09,3.25000000e-07,5.18580405e+08,3.25000000e-07,1.80262270e+01,0.840,0.500,sky130
