isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
5.25000000e-09,1.51647288e-07,5.25000000e-09,5.24951681e-09,5.25000000e-09,1.33735102e-15,5.25000000e-09,-8.07272842e-16,5.25000000e-09,2.31801139e-18,5.25000000e-09,3.99714224e-16,5.25000000e-09,5.98423978e-16,5.25000000e-09,-8.35862803e-19,5.25000000e-09,1.45328337e-09,5.25000000e-09,6.87357045e-01,5.25000000e-09,3.35034423e-02,5.25000000e-09,4.98008063e-01,5.25000000e-09,4.98008061e-01,5.25000000e-09,6.88097052e+08,5.25000000e-09,1.13393781e+08,5.25000000e-09,1.80471807e+07,5.25000000e-09,2.88878564e+01,0.840,0.500,sky130
5.50000000e-09,1.58612702e-07,5.50000000e-09,5.49951340e-09,5.50000000e-09,1.34362608e-15,5.50000000e-09,-8.15601105e-16,5.50000000e-09,2.34436345e-18,5.50000000e-09,4.03438713e-16,5.50000000e-09,6.04004365e-16,5.50000000e-09,-8.46151116e-19,5.50000000e-09,1.51954067e-09,5.50000000e-09,6.87350234e-01,5.50000000e-09,3.35205268e-02,5.50000000e-09,4.99604553e-01,5.50000000e-09,4.99604551e-01,5.50000000e-09,6.58093607e+08,5.50000000e-09,1.18048246e+08,5.50000000e-09,1.87879619e+07,5.50000000e-09,2.88412247e+01,0.840,0.500,sky130
5.75000000e-09,1.65563207e-07,5.75000000e-09,5.74950917e-09,5.75000000e-09,1.34965464e-15,5.75000000e-09,-8.23596790e-16,5.75000000e-09,2.36966355e-18,5.75000000e-09,4.07011705e-16,5.75000000e-09,6.09357801e-16,5.75000000e-09,-8.56016940e-19,5.75000000e-09,1.58565210e-09,5.75000000e-09,6.87343716e-01,5.75000000e-09,3.35375899e-02,5.75000000e-09,5.01132488e-01,5.75000000e-09,5.01132486e-01,5.75000000e-09,6.30655363e+08,5.75000000e-09,1.22670794e+08,5.75000000e-09,1.95236633e+07,5.75000000e-09,2.87960594e+01,0.840,0.500,sky130
6.00000000e-09,1.72499420e-07,6.00000000e-09,5.99950786e-09,6.00000000e-09,1.35545605e-15,6.00000000e-09,-8.31286262e-16,6.00000000e-09,2.39399500e-18,6.00000000e-09,4.10445335e-16,6.00000000e-09,6.14502462e-16,6.00000000e-09,-8.65494194e-19,6.00000000e-09,1.65162401e-09,6.00000000e-09,6.87337465e-01,6.00000000e-09,3.35546322e-02,6.00000000e-09,5.02597663e-01,6.00000000e-09,5.02597661e-01,6.00000000e-09,6.05464678e+08,6.00000000e-09,1.27263012e+08,6.00000000e-09,2.02545375e+07,6.00000000e-09,2.87522617e+01,0.840,0.500,sky130
6.25000000e-09,1.79421679e-07,6.25000000e-09,6.24950446e-09,6.25000000e-09,1.36104722e-15,6.25000000e-09,-8.38692573e-16,6.25000000e-09,2.41743062e-18,6.25000000e-09,4.13750206e-16,6.25000000e-09,6.19454233e-16,6.25000000e-09,-8.74612517e-19,6.25000000e-09,1.71746003e-09,6.25000000e-09,6.87331461e-01,6.25000000e-09,3.35716534e-02,6.25000000e-09,5.04005117e-01,6.25000000e-09,5.04005115e-01,6.25000000e-09,5.82255181e+08,6.25000000e-09,1.31826197e+08,6.25000000e-09,2.09807909e+07,6.25000000e-09,2.87097449e+01,0.840,0.500,sky130
6.50000000e-09,1.86330505e-07,6.50000000e-09,6.49950166e-09,6.50000000e-09,1.36644335e-15,6.50000000e-09,-8.45836430e-16,6.50000000e-09,2.44003587e-18,6.50000000e-09,4.16935830e-16,6.50000000e-09,6.24227361e-16,6.50000000e-09,-8.83398491e-19,6.50000000e-09,1.78316543e-09,6.50000000e-09,6.87325684e-01,6.50000000e-09,3.35886542e-02,6.50000000e-09,5.05359341e-01,6.50000000e-09,5.05359338e-01,6.50000000e-09,5.60800463e+08,6.50000000e-09,1.36361675e+08,6.50000000e-09,2.17026347e+07,6.50000000e-09,2.86684295e+01,0.840,0.500,sky130
6.75000000e-09,1.93226307e-07,6.75000000e-09,6.74949903e-09,6.75000000e-09,1.37165799e-15,6.75000000e-09,-8.52736234e-16,6.75000000e-09,2.46186890e-18,6.75000000e-09,4.20010654e-16,6.75000000e-09,6.28834501e-16,6.75000000e-09,-8.91875719e-19,6.75000000e-09,1.84874435e-09,6.75000000e-09,6.87320117e-01,6.75000000e-09,3.36056345e-02,6.75000000e-09,5.06664303e-01,6.75000000e-09,5.06664301e-01,6.75000000e-09,5.40907669e+08,6.75000000e-09,1.40870616e+08,6.75000000e-09,2.24202549e+07,6.75000000e-09,2.86282442e+01,0.840,0.500,sky130
7.00000000e-09,2.00109510e-07,7.00000000e-09,6.99949780e-09,7.00000000e-09,1.37670331e-15,7.00000000e-09,-8.59408528e-16,7.00000000e-09,2.48298201e-18,7.00000000e-09,4.22982266e-16,7.00000000e-09,6.33287018e-16,7.00000000e-09,-9.00065398e-19,7.00000000e-09,1.91420106e-09,7.00000000e-09,6.87314744e-01,7.00000000e-09,3.36225947e-02,7.00000000e-09,5.07923551e-01,7.00000000e-09,5.07923549e-01,7.00000000e-09,5.22411162e+08,7.00000000e-09,1.45354128e+08,7.00000000e-09,2.31338280e+07,7.00000000e-09,2.85891240e+01,0.840,0.500,sky130
7.25000000e-09,2.06980428e-07,7.25000000e-09,7.24949580e-09,7.25000000e-09,1.38159022e-15,7.25000000e-09,-8.65868117e-16,7.25000000e-09,2.50342199e-18,7.25000000e-09,4.25857452e-16,7.25000000e-09,6.37595077e-16,7.25000000e-09,-9.07986483e-19,7.25000000e-09,1.97953867e-09,7.25000000e-09,6.87309554e-01,7.25000000e-09,3.36395348e-02,7.25000000e-09,5.09140245e-01,7.25000000e-09,5.09140242e-01,7.25000000e-09,5.05168207e+08,7.25000000e-09,1.49813182e+08,7.25000000e-09,2.38435085e+07,7.25000000e-09,2.85510101e+01,0.840,0.500,sky130
7.50000000e-09,2.13839455e-07,7.50000000e-09,7.49949471e-09,7.50000000e-09,1.38632865e-15,7.50000000e-09,-8.72128477e-16,7.50000000e-09,2.52323146e-18,7.50000000e-09,4.28642382e-16,7.50000000e-09,6.41767922e-16,7.50000000e-09,-9.15656208e-19,7.50000000e-09,2.04476106e-09,7.50000000e-09,6.87304533e-01,7.50000000e-09,3.36564551e-02,7.50000000e-09,5.10317240e-01,7.50000000e-09,5.10317238e-01,7.50000000e-09,4.89054697e+08,7.50000000e-09,1.54248745e+08,7.50000000e-09,2.45494503e+07,7.50000000e-09,2.85138484e+01,0.840,0.500,sky130
