isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
2.00000000e-05,1.21924438e-04,2.00000000e-05,2.00003094e-05,2.00000000e-05,2.51250581e-15,2.00000000e-05,-2.31758531e-15,2.00000000e-05,7.96862669e-18,2.00000000e-05,1.02264960e-15,2.00000000e-05,1.53252164e-15,2.00000000e-05,-2.53449634e-18,2.00000000e-05,1.97194929e-06,2.00000000e-05,6.11869473e-01,2.00000000e-05,2.32373257e-01,2.00000000e-05,9.05146995e-01,2.00000000e-05,9.05140090e-01,2.00000000e-05,5.07112433e+05,2.00000000e-05,4.85270273e+10,2.00000000e-05,7.72331626e+09,2.00000000e-05,6.09612760e+00,0.840,0.500,sky130
2.25000000e-05,1.28140225e-04,2.25000000e-05,2.25001898e-05,2.25000000e-05,2.52534867e-15,2.25000000e-05,-2.33552739e-15,2.25000000e-05,8.02972807e-18,2.25000000e-05,1.02876354e-15,2.25000000e-05,1.54172777e-15,2.25000000e-05,-2.55382431e-18,2.25000000e-05,2.14628396e-06,2.25000000e-05,6.11771159e-01,2.25000000e-05,2.43616080e-01,2.25000000e-05,9.24813699e-01,2.25000000e-05,9.24805932e-01,2.25000000e-05,4.65921574e+05,2.25000000e-05,5.07415973e+10,2.25000000e-05,8.07577603e+09,2.25000000e-05,5.69507307e+00,0.840,0.500,sky130
2.50000000e-05,1.33831910e-04,2.50000000e-05,2.50001239e-05,2.50000000e-05,2.53646454e-15,2.50000000e-05,-2.35126794e-15,2.50000000e-05,8.08311176e-18,2.50000000e-05,1.03402041e-15,2.50000000e-05,1.54964641e-15,2.50000000e-05,-2.57105315e-18,2.50000000e-05,2.31442547e-06,2.50000000e-05,6.11677369e-01,2.50000000e-05,2.54122219e-01,2.50000000e-05,9.43577251e-01,2.50000000e-05,9.43568620e-01,2.50000000e-05,4.32072674e+05,2.50000000e-05,5.27631701e+10,2.50000000e-05,8.39751933e+09,2.50000000e-05,5.35324988e+00,0.840,0.500,sky130
2.75000000e-05,1.39090998e-04,2.75000000e-05,2.75000847e-05,2.75000000e-05,2.54619753e-15,2.75000000e-05,-2.36524329e-15,2.75000000e-05,8.13035247e-18,2.75000000e-05,1.03859463e-15,2.75000000e-05,1.55653938e-15,2.75000000e-05,-2.58666289e-18,2.75000000e-05,2.47703748e-06,2.75000000e-05,6.11587394e-01,2.75000000e-05,2.64003889e-01,2.75000000e-05,9.61579230e-01,2.75000000e-05,9.61569736e-01,2.75000000e-05,4.03708062e+05,2.75000000e-05,5.46269472e+10,2.75000000e-05,8.69414867e+09,2.75000000e-05,5.05783889e+00,0.840,0.500,sky130
3.00000000e-05,1.43985366e-04,3.00000000e-05,3.00000601e-05,3.00000000e-05,2.55480341e-15,3.00000000e-05,-2.37777758e-15,3.00000000e-05,8.17261463e-18,3.00000000e-05,1.04261534e-15,3.00000000e-05,1.56260054e-15,3.00000000e-05,-2.60100112e-18,3.00000000e-05,2.63464044e-06,3.00000000e-05,6.11500695e-01,3.00000000e-05,2.73348341e-01,3.00000000e-05,9.78927385e-01,3.00000000e-05,9.78917028e-01,3.00000000e-05,3.79558435e+05,3.00000000e-05,5.63586871e+10,3.00000000e-05,8.96976364e+09,3.00000000e-05,4.79950257e+00,0.840,0.500,sky130
3.25000000e-05,1.48566572e-04,3.25000000e-05,3.25000439e-05,3.25000000e-05,2.56247719e-15,3.25000000e-05,-2.38911784e-15,3.25000000e-05,8.21078137e-18,3.25000000e-05,1.04618061e-15,3.25000000e-05,1.56797713e-15,3.25000000e-05,-2.61432574e-18,3.25000000e-05,2.78765347e-06,3.25000000e-05,6.11416849e-01,3.25000000e-05,2.82224976e-01,3.25000000e-05,9.95706076e-01,3.25000000e-05,9.95694856e-01,3.25000000e-05,3.58724645e+05,3.25000000e-05,5.79777151e+10,3.25000000e-05,9.22743995e+09,3.25000000e-05,4.57127297e+00,0.840,0.500,sky130
3.50000000e-05,1.52874638e-04,3.50000000e-05,3.50000328e-05,3.50000000e-05,2.56937070e-15,3.50000000e-05,-2.39945637e-15,3.50000000e-05,8.24553649e-18,3.50000000e-05,1.04936648e-15,3.50000000e-05,1.57278331e-15,3.50000000e-05,-2.62683185e-18,3.50000000e-05,2.93642201e-06,3.50000000e-05,6.11335517e-01,3.50000000e-05,2.90690053e-01,3.50000000e-05,1.01198292e+00,3.50000000e-05,1.01197084e+00,3.50000000e-05,3.40550506e+05,3.50000000e-05,5.94988643e+10,3.50000000e-05,9.46953835e+09,3.50000000e-05,4.36784272e+00,0.840,0.500,sky130
3.75000000e-05,1.56941250e-04,3.75000000e-05,3.75000250e-05,3.75000000e-05,2.57560418e-15,3.75000000e-05,-2.40894546e-15,3.75000000e-05,8.27741867e-18,3.75000000e-05,1.05223295e-15,3.75000000e-05,1.57710917e-15,3.75000000e-05,-2.63866948e-18,3.75000000e-05,3.08123654e-06,3.75000000e-05,6.11256422e-01,3.75000000e-05,2.98789920e-01,3.75000000e-05,1.02781319e+00,3.75000000e-05,1.02780024e+00,3.75000000e-05,3.24545028e+05,3.75000000e-05,6.09337614e+10,3.75000000e-05,9.69790933e+09,3.75000000e-05,4.18509722e+00,0.840,0.500,sky130
4.00000000e-05,1.60791959e-04,4.00000000e-05,4.00000192e-05,4.00000000e-05,2.58127424e-15,4.00000000e-05,-2.41770753e-15,4.00000000e-05,8.30685846e-18,4.00000000e-05,1.05482803e-15,4.00000000e-05,1.58102682e-15,4.00000000e-05,-2.64995563e-18,4.00000000e-05,3.22234559e-06,4.00000000e-05,6.11179334e-01,4.00000000e-05,3.06563287e-01,4.00000000e-05,1.04324282e+00,4.00000000e-05,1.04322901e+00,4.00000000e-05,3.10332946e+05,4.00000000e-05,6.22916994e+10,4.00000000e-05,9.91403187e+09,4.00000000e-05,4.01979704e+00,0.840,0.500,sky130
4.25000000e-05,1.64447715e-04,4.25000000e-05,4.25000149e-05,4.25000000e-05,2.58645950e-15,4.25000000e-05,-2.42584223e-15,4.25000000e-05,8.33420434e-18,4.25000000e-05,1.05719063e-15,4.25000000e-05,1.58459472e-15,4.25000000e-05,-2.66078253e-18,4.25000000e-05,3.35996502e-06,4.25000000e-05,6.11104060e-01,4.25000000e-05,3.14042875e-01,4.25000000e-05,1.05831053e+00,4.25000000e-05,1.05829586e+00,4.25000000e-05,2.97622146e+05,4.25000000e-05,6.35802398e+10,4.25000000e-05,1.01191094e+10,4.25000000e-05,3.86935665e+00,0.840,0.500,sky130
