isweep,gm,i_id,id,i_cgg,cgg,i_cgs,cgs,i_cgd,cgd,i_cds,cds,i_css,css,i_cdd,cdd,i_gds,gds,i_vth,vth,i_vdsat,vdsat,i_vgs,vgs,i_vds,vds,i_rds,rds,i_wt,wt,i_ft,ft,i_kgm,kgm,W,L,pdk
9.50000000e-07,1.70549450e-05,9.50000000e-07,9.49999469e-07,9.50000000e-07,2.03492256e-15,9.50000000e-07,-1.72612628e-15,9.50000000e-07,4.92609005e-18,9.50000000e-07,7.96087724e-16,9.50000000e-07,1.19251063e-15,9.50000000e-07,-1.55345163e-18,9.50000000e-07,1.61875542e-07,9.50000000e-07,6.40169085e-01,9.50000000e-07,7.81583671e-02,9.50000000e-07,6.72299964e-01,9.50000000e-07,6.72299636e-01,9.50000000e-07,6.17758550e+06,9.50000000e-07,8.38112725e+09,9.50000000e-07,1.33389783e+09,9.50000000e-07,1.79525837e+01,0.840,0.500,sky130
9.75000000e-07,1.74241416e-05,9.75000000e-07,9.74999455e-07,9.75000000e-07,2.03832199e-15,9.75000000e-07,-1.73053447e-15,9.75000000e-07,4.93966555e-18,9.75000000e-07,7.97900614e-16,9.75000000e-07,1.19523019e-15,9.75000000e-07,-1.55799500e-18,9.75000000e-07,1.65463134e-07,9.75000000e-07,6.40162959e-01,9.75000000e-07,7.88133164e-02,9.75000000e-07,6.73736516e-01,9.75000000e-07,6.73736179e-01,9.75000000e-07,6.04364232e+06,9.75000000e-07,8.54827730e+09,9.75000000e-07,1.36050059e+09,9.75000000e-07,1.78709244e+01,0.840,0.500,sky130
1.00000000e-06,1.77904046e-05,1.00000000e-06,9.99999325e-07,1.00000000e-06,2.04163139e-15,1.00000000e-06,-1.73482598e-15,1.00000000e-06,4.95287674e-18,1.00000000e-06,7.99664507e-16,1.00000000e-06,1.19787627e-15,1.00000000e-06,-1.56241052e-18,1.00000000e-06,1.69031006e-07,1.00000000e-06,6.40156961e-01,1.00000000e-06,7.94604677e-02,1.00000000e-06,6.75143049e-01,1.00000000e-06,6.75142704e-01,1.00000000e-06,5.91607437e+06,1.00000000e-06,8.71381809e+09,1.00000000e-06,1.38684722e+09,1.00000000e-06,1.77904166e+01,0.840,0.500,sky130
1.25000000e-06,2.13060804e-05,1.25000000e-06,1.25021987e-06,1.25000000e-06,2.07066287e-15,1.25000000e-06,-1.77247747e-15,1.25000000e-06,5.06856459e-18,1.25000000e-06,8.15095602e-16,1.25000000e-06,1.22102622e-15,1.25000000e-06,-1.60082081e-18,1.25000000e-06,2.03749950e-07,1.25000000e-06,6.40102806e-01,1.25000000e-06,8.55590467e-02,1.25000000e-06,6.87842433e-01,1.25000000e-06,6.87842001e-01,1.25000000e-06,4.90797667e+06,1.25000000e-06,1.02894975e+10,1.25000000e-06,1.63762439e+09,1.25000000e-06,1.70418667e+01,0.840,0.500,sky130
1.50000000e-06,2.45808403e-05,1.50000000e-06,1.50056530e-06,1.50000000e-06,2.09419397e-15,1.50000000e-06,-1.80300696e-15,1.50000000e-06,5.16205852e-18,1.50000000e-06,8.27545870e-16,1.50000000e-06,1.23970597e-15,1.50000000e-06,-1.63151422e-18,1.50000000e-06,2.36924557e-07,1.50000000e-06,6.40056680e-01,1.50000000e-06,9.10957928e-02,1.50000000e-06,6.98659730e-01,1.50000000e-06,6.98659212e-01,1.50000000e-06,4.22075286e+06,1.50000000e-06,1.17376139e+10,1.50000000e-06,1.86809928e+09,1.50000000e-06,1.63810533e+01,0.840,0.500,sky130
1.75000000e-06,2.76410092e-05,1.75000000e-06,1.75030126e-06,1.75000000e-06,2.11391703e-15,1.75000000e-06,-1.82860949e-15,1.75000000e-06,5.24022906e-18,1.75000000e-06,8.37940582e-16,1.75000000e-06,1.25530294e-15,1.75000000e-06,-1.65692607e-18,1.75000000e-06,2.68725240e-07,1.75000000e-06,6.40016269e-01,1.75000000e-06,9.61822287e-02,1.75000000e-06,7.08137551e-01,1.75000000e-06,7.08136947e-01,1.75000000e-06,3.72127308e+06,1.75000000e-06,1.30757304e+10,1.75000000e-06,2.08106713e+09,1.75000000e-06,1.57921438e+01,0.840,0.500,sky130
2.00000000e-06,3.05234578e-05,2.00000000e-06,2.00016282e-06,2.00000000e-06,2.13092822e-15,2.00000000e-06,-1.85070576e-15,2.00000000e-06,5.30750798e-18,2.00000000e-06,8.46875290e-16,2.00000000e-06,1.26871022e-15,2.00000000e-06,-1.67860642e-18,2.00000000e-06,2.99441408e-07,2.00000000e-06,6.39979980e-01,2.00000000e-06,1.00919620e-01,2.00000000e-06,7.16648922e-01,2.00000000e-06,7.16648232e-01,2.00000000e-06,3.33955149e+06,2.00000000e-06,1.43240197e+10,2.00000000e-06,2.27973854e+09,2.00000000e-06,1.52604865e+01,0.840,0.500,sky130
2.25000000e-06,3.32490926e-05,2.25000000e-06,2.25010019e-06,2.25000000e-06,2.14587664e-15,2.25000000e-06,-1.87013644e-15,2.25000000e-06,5.36651819e-18,2.25000000e-06,8.54702374e-16,2.25000000e-06,1.28045624e-15,2.25000000e-06,-1.69747164e-18,2.25000000e-06,3.29211925e-07,2.25000000e-06,6.39946882e-01,2.25000000e-06,1.05367197e-01,2.25000000e-06,7.24412570e-01,2.25000000e-06,7.24411793e-01,2.25000000e-06,3.03755704e+06,2.25000000e-06,1.54944100e+10,2.25000000e-06,2.46601195e+09,2.25000000e-06,1.47767165e+01,0.840,0.500,sky130
2.50000000e-06,3.58349484e-05,2.50000000e-06,2.50006519e-06,2.50000000e-06,2.15920245e-15,2.50000000e-06,-1.88747129e-15,2.50000000e-06,5.41903544e-18,2.50000000e-06,8.61660218e-16,2.50000000e-06,1.29089850e-15,2.50000000e-06,-1.71413906e-18,2.50000000e-06,3.58145567e-07,2.50000000e-06,6.39916331e-01,2.50000000e-06,1.09568946e-01,2.50000000e-06,7.31578924e-01,2.50000000e-06,7.31578061e-01,2.50000000e-06,2.79216077e+06,2.50000000e-06,1.65963819e+10,2.50000000e-06,2.64139622e+09,2.50000000e-06,1.43336056e+01,0.840,0.500,sky130
2.75000000e-06,3.82954733e-05,2.75000000e-06,2.75004414e-06,2.75000000e-06,2.17121931e-15,2.75000000e-06,-1.90311613e-15,2.75000000e-06,5.46632327e-18,2.75000000e-06,8.67918318e-16,2.75000000e-06,1.30029119e-15,2.75000000e-06,-1.72904584e-18,2.75000000e-06,3.86333316e-07,2.75000000e-06,6.39887865e-01,2.75000000e-06,1.13559101e-01,2.75000000e-06,7.38256868e-01,2.75000000e-06,7.38255919e-01,2.75000000e-06,2.58843843e+06,2.75000000e-06,1.76377730e+10,2.75000000e-06,2.80713876e+09,2.75000000e-06,1.39254031e+01,0.840,0.500,sky130
